,Address,Latitude,Longitude
129,"['Medellin, Colombia']",6.2443382,-75.573553
130,"['Paris, France']",48.8566969,2.3514616
131,['Berlin'],52.5170365,13.3888599
132,"['columbia, Missouri']",38.951883,-92.3337366
133,['Barcelona'],41.3828939,2.1774322
134,['israel'],31.5313113,34.8667654
135,"['Mooresville, Indiana']",39.6128243,-86.37416
136,['Indonesia'],-2.4833826,117.8902853
137,['Bangalore'],12.9791198,77.5912997
138,['San Francisco'],37.7790262,-122.4199061
139,['San Francisco'],37.7790262,-122.4199061
140,['Ghana'],8.0300284,-1.0800271
141,['San Francisco'],37.7790262,-122.4199061
142,"['Stanford, CA']",37.426540700000004,-122.17029258409187
143,['beijing'],39.9020668,116.718583
144,['Italy'],42.6384261,12.674297
145,['Lagos'],6.4550575,3.3941795
146,"['Accra,Ghana']",5.5600141,-0.2057437
147,['Knoxville'],35.9603948,-83.9210261
148,"['Kolkata, West Bengal, India']",22.5726723,88.3638815
149,"['Irvine, CA']",49.9584438,-110.27326
150,['Bangalore'],12.9791198,77.5912997
151,['Pakistan'],30.3308401,71.247499
152,"['Paris, France']",48.8566969,2.3514616
153,['sector 35 b chandighar'],,
154,['India'],22.3511148,78.6677428
155,"['Syracuse, New York, US']",43.0481221,-76.1474244
156,['Pune'],18.521428,73.8544541
157,['Belo Horizonte'],-19.9227318,-43.9450948
158,"['Budapest, Hungary']",47.4983815,19.0404707
159,"['Cairo, Egypt']",30.048819,31.243666
160,"['Chittagong, Bangladesh']",22.3307998,91.8412863
161,['Ireland'],52.865196,-7.9794599
162,"['Bangalore, India']",12.9791198,77.5912997
163,['Mumbai'],18.9387711,72.8353355
164,['United Kingdom'],54.7023545,-3.2765753
165,['delhi'],28.6517178,77.2219388
166,"['Jaipur,Rajasthan']",26.916194,75.820349
167,['HYDERABAD'],17.38878595,78.46106473453146
168,['Madrid'],40.4167047,-3.7035825
169,['Mumbai | India'],18.9387711,72.8353355
170,['Hamburg/ Germany'],53.5437641,10.0099133
171,['Ankara'],39.7160439,32.7059948
172,"['Manchester, UK']",53.4794892,-2.2451148
173,"['Wrocław, PL']",51.1089776,17.0326689
174,['Delhi'],28.6517178,77.2219388
175,['India'],22.3511148,78.6677428
176,['Hyderabad'],17.38878595,78.46106473453146
177,['Egypt'],26.2540493,29.2675469
178,"['Bengaluru, India']",12.9791198,77.5912997
179,"['Waterloo, ON']",43.466874,-80.524635
180,['Singapore'],1.3408630000000001,103.83039182212079
181,['Shanghai'],31.2322758,121.4692071
182,"['Austin, TX']",30.2711286,-97.7436995
183,"['Hangzhou, China']",30.2489634,120.2052342
184,"['Pune, India']",18.521428,73.8544541
185,"['Utrecht, NL']",52.0949753,5.109708
186,"['Nottingham, United Kingdom']",52.9534193,-1.1496461
187,"['Dhaka, Bangladesh']",23.810651,90.4126466
188,"['San Jose, CA']",37.3361905,-121.8905833
