NONE,NONE,NONE,NONE,NONE,NONE,Mumbai,NONE,NONE,NONE,
NONE,"Milan,Italy",NONE,"kathmandu,Nepal",Mumbai,Fran Sancisco,"Seattle, WA",NONE,NONE,NONE,
"Jaipur,Rajasthan","Syracuse, New York",beijing,NONE,United Kingdom,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,India,NONE,delhi,NONE,Fran Sancisco,"Seattle, WA",NONE,NONE,
United Kingdom,"Syracuse, New York",NONE,NONE,"Jaipur,Rajasthan",NONE,beijing,NONE,NONE,"Montréal, Canada",
NONE,NONE,"Jakarta, Indonesia",NONE,NONE,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,NONE,NONE,NONE,HYDERABAD,NONE,"Banglore,India",beijing,NONE,
NONE,Nigeria,NONE,NONE,NONE,NONE,"Montréal, Canada",NONE,NONE,"Jakarta, Indonesia",
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Singapore,NONE,
NONE,NONE,NONE,NONE,HYDERABAD,NONE,"Banglore,India",NONE,Hyderabad,NONE,
NONE,NONE,NONE,NONE,NONE,Bengaluru,Ukraine,NONE,NONE,Ottawa / Cairo,
NONE,Moscow,london UK,Toronto,NONE,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,NONE,NONE,NONE,NONE,"Kathmandu, Nepal",Mumbai,"Satara, Maharashtra",NONE,
Kraków,NONE,NONE,NONE,Madrid,NONE,Mumbai,NONE,India,"Leeds, West Riding, UK",
India,"Leeds, West Riding, UK",NONE,NONE,Mumbai | India,NONE,NONE,NONE,NONE,NONE,
NONE,"Chicago, IL",NONE,"Razole ,East Godavari, Andhra Pradesh",NONE,NONE,NONE,NONE,NONE,NONE,
NONE,Oslo Norway,NONE,NONE,NONE,NONE,NONE,127.0.0.1,Spain,NONE,
london UK,Toronto,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,"Kathmandu, Nepal",NONE,NONE,Mumbai,"Satara, Maharashtra",NONE,Texas,NONE,
Bangalore,"Bangalore, India",glasgow,"Castle Rock, CO",NONE,NONE,NONE,NONE,"Missoula, MT",NONE,
KITALE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,NONE,"Medellin, Colombia",NONE,NONE,NONE,NONE,NONE,NONE,
"Wales, UK","Canada, Edmonton,AB",NONE,NONE,NONE,"San Diego, CA",NONE,NONE,NONE,NONE,
NONE,NONE,NONE,"Paris, France",NONE,NONE,NONE,NONE,NONE,NONE,
NONE,NONE,NONE,Berlin,NONE,NONE,NONE,NONE,NONE,NONE,
NONE,Casablanca,Paris,NONE,NONE,"London, UK",NONE,NONE,NONE,"Sousse, Tunisia",
"London, UK",Finland,Faculty of Engineering - University of Moratuwa,NONE,Hamburg/ Germany,NONE,"Sydney, Australia",NONE,NONE,India,
NONE,"Austin, TX",NONE,NONE,NONE,Canada,Hong Kong,NONE,Shanghai,Cotia - São Paulo,
