Location,Followers,Following,Stars,Contributions
ShangHai,188,40,120,16
"Frisco, Texas (United States)",491,11,179,411
Thailand,29,4,4,95
China,96,173,1000,385
India,30,11,28,153
London,604,2,41,111
上海，中国,49,4,0,264
"Mountain View, CA",160,92,126,38
Belgium,200,3,44,154
Netherlands,13,40,85,21
"Seattle, WA",21,6,19,0
China,183,26,359,44
"HangZhou , ZheJiang, China ",39,6,18,0
Stanford,16,8,23,6
"Chicago, IL",19,1,14,0
"Austin, TX",648,7,139,125
Hyderabad,45,0,98,59
"Chicago, IL",310,5,13,335
"Tabriz, Iran",459,5,7,0
"Yokohama, Japan",37,0,13,18
"Madison, WI",13300,35,73,681
Toronto Canada,3300,68,1,76
Boston,413,26,148,22
"Sydney, Australia",621,1,38,13
"Vancouver, WA",5200,13,134,33
"Cambridge, UK",385,2,132,347
"New York, NY",507,0,8,827
"Seattle, WA",383,20,101,9
"Vienna, Austria",651,0,123,302
"New York, NY, USA",209,1,5,0
Hanoi,444,24,15,3785
"Cambridge, UK",978,267,723,1142
"San Francisco, CA",3400,41,36,3980
Taipei,55,0,7,74
Vipava,19,1,0,95
Luxembourg & Shanghai,614,43,145,665
"DC, USA",394,0,4,45
San Francisco,134,3,109,4712
"Herndon, Virginia",66,0,12,1053
Chicago,71,3,24,84
"Duvall, WA",227,3,36,510
China,132,9,86,315
ShangHai·China,50,0,170,1
Toronto,415,0,7,843
New York,4500,0,3,17
France,33,0,142,116
"Brisbane, Australia",336,58,274,1224
Gurgaon,206,85,377,293
Beijing,65,59,984,11
Gurgaon,83,0,4,567
"Seoul, republic of korea",766,154,1900,1305
"Brooklyn, NY",702,29,209,1324
United States,55,36,209,255
United States,144,12,161,1002
"Shanghai, China",412,128,774,90
"Bengaluru, India",53,5,24,246
San Francisco,276,59,33,38
"Beijing, People's Republic of China",26,53,210,6
"Portland, OR",136,3,27,9
London,32,4,10,19
Boston,205,2,56,72
Greater New York City Area,30,7,28,140
Paris | Nyköping,1500,358,307,101
Munich,915,0,27,1633
"GuangDong, GuangZhou",63,4,36,0
"Yorktown Heights, NY",44,0,5,293
"He Fei, China",32,72,227,572
Thailand,11,4,9,131
Santa Cruz,61,12,118,43
Los Angeles,61,105,262,69
Montreal,32,2,58,1209
China,3100,28,122,203
"San Francisco, CA",36300,4,20,29
"Cologne, Germany",518,3,3,50
"SF Bay Area, USA",325,1,13,2
"Santa Barbara, CA",189,51,74,642
Berlin,48,14,328,14
"A Coruña, Spain",121,34,80,2
Denmark,48,2,52,302
"Baltimore, Md",62,3,42,40
"Nanjing, China",624,48,642,65
"Oslo, Norway",1500,33,21,2742
Seattle,103,1,53,37
"New York, NY",381,9,15,56
"Salzburg, Austria",35,0,20,126
"Stockholm, Sweden",3400,11,53,1
Beijing,47,0,0,124
Singapore,79,142,372,443
"Fremont, CA",1800,5,97,586
"Asheville, NC, USA",6100,0,74,152
"San Francisco, CA",36300,4,20,29
"Stony Brook, NY",51,26,249,96
"Rochester, NY",1400,651,472,887
"Warsaw, Poland",501,32,376,1384
Palo Alto,8500,43,59,1233
"Tabriz, Iran",457,5,7,0
Poland,138,6,746,727
New York,51,5,30,2
"Palo Alto, CA",20,0,0,2
"Bangalore, India",150,0,0,795
İstanbul,2700,0,1,0
Mumbai,340,262,2,340
Mumbai,297,6,12,375
"Vilnius, Lithuania",27,0,24,4
"Seattle, WA",93,19,155,3089
Auckland,50,0,27,3342
"Shanghai, China",96,6,136,462
"British Columbia, Canada",60,140,75,576
"Bangalore, India",471,22,797,42
"Riyadh, Saudi Arabia",47,4,20,74
Singapore,387,6,8,12
Peru-Arequipa,17,11,39,244
"Madison, WI",13300,35,72,672
London,18,3,11,564
wuhan,15,124,57,5
San Francisco Bay Area,82,51,60,11
New York // Sydney,791,3,6,242
Ahmedabad,348,173,1100,221
